date,lpc,ca,pc,bq,ndp,gpc,oth,institute,sample_size,cpc,polling_method,ppc
2003-01-16,52,11,14,7,14,NA,NA,Ekos,1001,NA,NA,NA
2003-01-14,43,17,15,9,15,NA,1,Environics,3879,NA,NA,NA
2002-12-12,41,16,17,8,12,6,0,Ipsos,1000,NA,NA,NA
2002-12-04,47,16,14,8,11,NA,NA,Ekos,1205,NA,NA,NA
2002-11-03,49,12,16,7,13,NA,NA,SES,1000,NA,NA,NA
2002-09-30,44,15,15,9,13,4,1,Ipsos,1000,NA,NA,NA
2002-07-14,41,16,18,8,13,NA,4,Ipsos,971,NA,NA,NA
2002-07-02,46,18,12,8,12,NA,NA,SES,1000,NA,NA,NA
2002-06-18,46,17,14,7,14,NA,NA,Ipsos,1000,NA,NA,NA
2002-06-20,43,17,10,10,14,NA,NA,Ipsos,2000,NA,NA,NA
2002-06-09,41,18,15,10,9,NA,NA,Leger,1500,NA,NA,NA
2002-06-06,50,17,13,8,11,NA,NA,Ekos,1225,NA,NA,NA
2002-05-30,43,18,15,10,13,NA,NA,Ipsos,2000,NA,NA,NA
2002-05-29,46,17,13,8,13,NA,NA,Ekos,1217,NA,NA,NA
2002-04-24,49,19,16,6,10,NA,NA,SES,1000,NA,NA,NA
2002-03-28,45,15,15,10,10,NA,NA,Ipsos,1000,NA,NA,NA
2002-03-24,44,13,16,9,10,NA,8,Leger,1503,NA,NA,NA
2002-02-21,47,12,16,10,10,NA,5,Ipsos,1000,NA,NA,NA
2001-12-12,54,11,16,7,10,NA,NA,Ekos,1200,NA,NA,NA
2001-07-29,52,10,18,8,9,NA,NA,Ekos,3004,NA,NA,NA
2001-07-23,49,11,20,9,9,NA,3,Ipsos,1000,NA,NA,NA
2001-07-13,48,10,16,9,9,NA,NA,Leger,1508,NA,NA,NA
2001-06-10,46,13,20,8,11,NA,2,Environics,1970,NA,NA,NA
2001-06-08,48,10,21,10,9,NA,2,Ipsos,1000,NA,NA,NA
2001-05-31,50,11,16,10,9,NA,NA,Leger,1504,NA,NA,NA
2001-05-30,55,9,19,5,7,NA,5,Gallup,1017,NA,NA,NA
2001-05-27,50,11,17,10,10,NA,3,Ipsos,1000,NA,NA,NA
2001-04-26,49,13,15,9,11,NA,3,Ipsos,1000,NA,NA,NA
2001-04-24,43,19,15,9,10,NA,2,Environics,1966,NA,NA,NA
2001-03-29,48,19,15,9,7,NA,2,Ipsos,1003,NA,NA,NA
2001-03-10,44,19,14,NA,11,NA,5,Ipsos,803,NA,NA,NA
2001-01-31,49,21,13,7,8,NA,NA,Ekos,1491,NA,NA,NA
2001-01-15,45,23,11,8,10,NA,3,Environics,2114,NA,NA,NA
2006-01-22,27,NA,NA,11,19,6,NA,Strategic Counsel,2500,37,NA,NA
2006-01-22,30.1,NA,NA,10.6,17.4,5.6,NA,Nanos Research,1200,36.4,Telephone ,NA
2006-01-22,27,NA,NA,12,19,4,NA,Ipsos-Reid,9648,38,NA,NA
2006-01-21,28.1,NA,NA,11.3,17.7,6,NA,Nanos Research,1200,37,Telephone ,NA
2006-01-21,27,NA,NA,11,18,6,NA,Strategic Counsel,2000,37,NA,NA
2006-01-20,29.4,NA,NA,11,17.3,6.1,NA,Nanos Research,1200,36.2,Telephone ,NA
2006-01-20,26.9,NA,NA,11.5,19.5,4.6,NA,EKOS,NA,37.1,NA,NA
2006-01-20,24.4,NA,NA,11.9,19.8,5.4,NA,EKOS,NA,38.4,NA,NA
2006-01-19,26,NA,NA,11,19,5,NA,Ipsos-Reid,NA,38,NA,NA
2006-01-19,27,NA,NA,11.2,19.7,4.5,NA,EKOS,NA,37.1,NA,NA
2006-01-19,28,NA,NA,11,17,7,NA,Strategic Counsel,NA,38,NA,NA
2006-01-19,29,NA,NA,11.1,18.8,5.6,NA,Nanos Research,1200,35.5,Telephone ,NA
2006-01-19,27.3,NA,NA,10.1,20.8,3.9,NA,EKOS,NA,37.4,NA,NA
2006-01-18,28,NA,NA,12,16,7,NA,Strategic Counsel,NA,37,NA,NA
2006-01-18,30.7,NA,NA,10.7,16.6,4.9,NA,Nanos Research,NA,37,NA,NA
2006-01-18,29.3,NA,NA,12.6,18,4.4,NA,EKOS,NA,35.1,NA,NA
2006-01-17,29,NA,NA,11,17,NA,NA,Leger Marketing,NA,38,NA,NA
2006-01-17,25,NA,NA,12,17,5,NA,Strategic Counsel,NA,41,NA,NA
2006-01-17,31.5,NA,NA,10,17.6,4,NA,Nanos Research,NA,36.9,NA,NA
2006-01-17,27.2,NA,NA,11,19.6,4.8,NA,EKOS,NA,36.9,NA,NA
2006-01-16,24,NA,NA,12,17,5,NA,Strategic Counsel,NA,42,NA,NA
2006-01-16,30,NA,NA,10,18,4,NA,Nanos Research,NA,37,NA,NA
2006-01-16,29.6,NA,NA,11.6,19.4,3.4,NA,EKOS,NA,35.8,NA,NA
2006-01-15,27,NA,NA,11,18,NA,NA,Decima Research,1017,37,telephone,NA
2006-01-15,26,NA,NA,12,19,5,NA,Ipsos-Reid,NA,38,NA,NA
2006-01-15,27,NA,NA,11,16,6,NA,Strategic Counsel,NA,40,NA,NA
2006-01-15,29,NA,NA,11,18,5,NA,Nanos Research,NA,37,NA,NA
2006-01-15,27.2,NA,NA,10.6,18.6,4.4,NA,EKOS,968,38.6,Telephone,NA
2006-01-14,30,NA,NA,10,17,6,NA,Nanos Research,NA,38,NA,NA
2006-01-14,27,NA,NA,11,16,6,NA,Strategic Counsel,NA,40,NA,NA
2006-01-13,29,NA,NA,11,16,7,NA,Nanos Research,NA,38,NA,NA
2006-01-12,28,NA,NA,11,16,6,NA,Strategic Counsel,NA,38,NA,NA
2006-01-12,29,NA,NA,10,18,5,NA,Ipsos-Reid,NA,37,NA,NA
2006-01-12,31,NA,NA,10,14,6,NA,Nanos Research,1200,40,Telephone ,NA
2006-01-12,28.3,NA,NA,11.6,18.1,3.7,NA,EKOS,2045,37.6,NA,NA
2006-01-12,27.4,NA,NA,11.5,18.1,4.5,NA,EKOS,NA,38.1,NA,NA
2006-01-11,27,NA,NA,12,16,6,NA,Strategic Counsel,NA,39,NA,NA
2006-01-11,29,NA,NA,12,16,5,NA,Nanos Research,1200,38,Telephone ,NA
2006-01-11,28.8,NA,NA,13.3,17.9,2.8,NA,EKOS,NA,36.3,NA,NA
2006-01-10,28,NA,NA,12,16,NA,NA,Strategic Counsel,NA,39,NA,NA
2006-01-10,30,NA,NA,12,16,4,NA,Nanos Research,1200,39,Telephone ,NA
2006-01-10,29.9,NA,NA,11.6,17.6,3.2,NA,EKOS,NA,37.1,NA,NA
2006-01-09,28,NA,NA,12,16,6,NA,Strategic Counsel,NA,38,NA,NA
2006-01-09,31,NA,NA,13,17,5,NA,Nanos Research,1200,35,Telephone ,NA
2006-01-09,26.8,NA,NA,12.6,16.2,5.4,NA,EKOS,NA,39.1,NA,NA
2006-01-08,26,NA,NA,13,18,5,NA,Ipsos-Reid,NA,37,NA,NA
2006-01-08,27,NA,NA,11,20,5,NA,Decima Research,NA,36,NA,NA
2006-01-08,31,NA,NA,11,17,6,NA,Nanos Research,1200,34,Telephone ,NA
2006-01-08,29,NA,NA,13,15,6,NA,Strategic Counsel,1500,37,NA,NA
2006-01-07,32,NA,NA,11,17,6,NA,Nanos Research,1200,34,Telephone ,NA
2006-01-06,32,NA,NA,10,17,6,NA,Nanos Research,1200,35,Telephone ,NA
2006-01-05,31,NA,NA,10,18,5,NA,Ipsos-Reid,2004,35,NA,NA
2006-01-05,30.8,NA,NA,10.6,17.5,4.7,NA,EKOS,1968,36,NA,NA
2006-01-05,31,NA,NA,13,17,6,NA,Strategic Counsel,NA,33,NA,NA
2006-01-05,33,NA,NA,11,17,5,NA,Nanos Research,1200,34,Telephone ,NA
2006-01-04,32,NA,NA,11,16,5,NA,Leger Marketing,NA,34,NA,NA
2006-01-04,32,NA,NA,13,17,6,NA,Strategic Counsel,NA,32,NA,NA
2006-01-04,33,NA,NA,12,15,5,NA,Nanos Research,1200,35,Telephone ,NA
2006-01-04,30.4,NA,NA,10.4,17.9,4.7,NA,EKOS,1386,36.2,NA,NA
2006-01-03,32,NA,NA,13,17,6,NA,Strategic Counsel,1500,32,NA,NA
2006-01-03,33,NA,NA,13,15,4,NA,Nanos Research,1200,36,Telephone ,NA
2005-12-31,33,NA,NA,14,17,6,NA,Strategic Counsel,NA,31,NA,NA
2005-12-30,35,NA,NA,13,14,4,NA,Nanos Research,1200,35,Telephone ,NA
2005-12-30,32,NA,NA,12,18,5,NA,Ipsos-Reid,1000,33,Telephone,NA
2005-12-30,32,NA,NA,14,18,NA,NA,Decima Research,NA,30,NA,NA
2005-12-29,35,NA,NA,13,14,5,NA,Nanos Research,1200,34,Telephone ,NA
2005-12-28,38,NA,NA,13,14,4,NA,Nanos Research,1200,32,Telephone ,NA
2005-12-23,38,NA,NA,12,15,5,NA,Nanos Research,1200,31,Telephone ,NA
2005-12-22,33,NA,NA,13,16,5,NA,Ipsos-Reid,1000,32,Telephone,NA
2005-12-22,36,NA,NA,13,17,5,NA,Strategic Counsel,NA,29,NA,NA
2005-12-22,39,NA,NA,12,15,5,NA,Nanos Research,NA,29,NA,NA
2005-12-21,35,NA,NA,12,17,5,NA,Environics,1010,30,NA,NA
2005-12-21,33,NA,NA,14,18,5,NA,Strategic Counsel,NA,30,NA,NA
2005-12-21,36,NA,NA,12,17,5,NA,Leger Marketing,NA,28,NA,NA
2005-12-21,37,NA,NA,12,15,6,NA,Nanos Research,NA,29,NA,NA
2005-12-20,34,NA,NA,15,16,5,NA,Strategic Counsel,NA,30,NA,NA
2005-12-20,37,NA,NA,13,14,6,NA,Nanos Research,NA,31,NA,NA
2005-12-19,33,NA,NA,15,17,6,NA,Strategic Counsel,NA,29,NA,NA
2005-12-19,37,NA,NA,13,16,5,NA,Nanos Research,NA,29,NA,NA
2005-12-18,34,NA,NA,13,19,5,NA,Strategic Counsel,NA,29,NA,NA
2005-12-19,37,NA,NA,10,17,NA,NA,Pollara,NA,34,NA,NA
2005-12-18,38,NA,NA,12,16,4,NA,Nanos Research,NA,29,NA,NA
2005-12-17,38,NA,NA,13,15,4,NA,Nanos Research,NA,30,NA,NA
2005-12-16,39,NA,NA,12,14,5,NA,Nanos Research,NA,31,NA,NA
2005-12-15,34,NA,NA,13,18,5,NA,Strategic Counsel,NA,30,NA,NA
2005-12-15,39,NA,NA,12,12,5,NA,Nanos Research,NA,33,NA,NA
2005-12-14,34,NA,NA,14,17,5,NA,Strategic Counsel,NA,30,NA,NA
2005-12-14,39,NA,NA,12,12,5,NA,Nanos Research,NA,32,NA,NA
2005-12-13,35,NA,NA,12,17,6,NA,Leger Marketing,NA,29,NA,NA
2005-12-13,34,NA,NA,14,17,6,NA,Strategic Counsel,NA,29,NA,NA
2005-12-13,38,NA,NA,12,14,5,NA,Nanos Research,NA,31,NA,NA
2005-12-12,33,NA,NA,13,17,6,NA,Strategic Counsel,NA,31,NA,NA
2005-12-12,38,NA,NA,14,13,5,NA,Nanos Research,NA,30,NA,NA
2005-12-11,36,NA,NA,14,17,5,NA,Ipsos-Reid,NA,27,NA,NA
2005-12-11,38,NA,NA,12,15,NA,NA,Pollara,NA,30,NA,NA
2005-12-11,34,NA,NA,14,16,6,NA,Strategic Counsel,NA,30,NA,NA
2005-12-11,39,NA,NA,13,14,4,NA,Nanos Research,NA,31,NA,NA
2005-12-10,35,NA,NA,14,15,6,NA,Strategic Counsel,NA,30,NA,NA
2005-12-10,39,NA,NA,13,14,4,NA,Nanos Research,NA,32,NA,NA
2005-12-09,36,NA,NA,13,20,4,NA,Decima Research,NA,27,NA,NA
2005-12-09,39,NA,NA,11,15,4,NA,Nanos Research,NA,30,NA,NA
2005-12-08,36,NA,NA,14,16,6,NA,Strategic Counsel,NA,28,NA,NA
2005-12-08,41,NA,NA,11,18,4,NA,Nanos Research,NA,26,NA,NA
2005-12-08,34,NA,NA,14,15,5,NA,Ipsos-Reid,NA,30,NA,NA
2005-12-07,39,NA,NA,12,16,5,NA,Leger Marketing,NA,27,NA,NA
2005-12-07,36,NA,NA,14,15,5,NA,Strategic Counsel,NA,30,NA,NA
2005-12-07,40,NA,NA,11,18,4,NA,Nanos Research,NA,26,NA,NA
2005-12-06,35,NA,NA,13,16,6,NA,Strategic Counsel,NA,29,NA,NA
2005-12-06,40,NA,NA,11,17,4,NA,Nanos Research,NA,28,NA,NA
2005-12-05,34,NA,NA,14,20,NA,NA,Decima Research,NA,26,NA,NA
2005-12-05,35,NA,NA,14,16,6,NA,Strategic Counsel,NA,29,NA,NA
2005-12-05,38,NA,NA,12,16,5,NA,Nanos Research,NA,30,NA,NA
2005-12-04,35,NA,NA,14,16,6,NA,Strategic Counsel,NA,29,NA,NA
2005-12-04,37,NA,NA,13,16,5,NA,Nanos Research,NA,30,NA,NA
2005-12-03,34,NA,NA,14,16,6,NA,Strategic Counsel,NA,30,NA,NA
2005-12-03,38,NA,NA,14,15,5,NA,Nanos Research,NA,29,NA,NA
2005-12-02,36,NA,NA,14,14,5,NA,Nanos Research,NA,31,NA,NA
2005-12-01,33,NA,NA,14,17,5,NA,Ipsos-Reid,NA,31,NA,NA
2005-12-01,35,NA,NA,14,16,6,NA,Strategic Counsel,NA,30,NA,NA
2005-12-01,37,NA,NA,14,15,5,NA,Nanos Research,NA,29,NA,NA
2005-12-01,34.1,NA,NA,14,18.4,6,NA,EKOS,NA,27.4,NA,NA
2005-11-30,35,NA,NA,14,17,5,NA,Strategic Counsel,NA,30,NA,NA
2005-11-28,31,NA,NA,15,18,5,NA,Ipsos-Reid,NA,31,NA,NA
2005-11-28,36,NA,NA,12,19,NA,NA,Decima Research,NA,28,NA,NA
2005-11-27,35,NA,NA,14,17,5,NA,Strategic Counsel,NA,29,NA,NA
2005-11-27,36,NA,NA,14,16,NA,NA,Pollara,NA,31,NA,NA
2005-11-25,35,NA,NA,14,20,1,NA,Environics,NA,30,NA,NA
2005-11-24,38.7,NA,NA,10.6,16.9,3,NA,EKOS,NA,29.4,NA,NA
2005-11-24,34,NA,NA,15,16,5,NA,Ipsos-Reid,NA,30,NA,NA
2005-11-15,36,NA,NA,13,16,6,NA,Ipsos-Reid,NA,27,NA,NA
2005-11-14,33,NA,NA,13,22,NA,NA,Decima Research,NA,26,NA,NA
2005-11-13,36,NA,NA,NA,20,NA,NA,Pollara,NA,28,NA,NA
2005-11-13,34,NA,NA,14,20,4,NA,Nanos Research,NA,28,NA,NA
2005-11-10,34,NA,NA,14,19,4,NA,Ipsos-Reid,NA,28,NA,NA
2005-11-09,33,NA,NA,13.1,20.9,4.9,NA,EKOS,NA,27.9,NA,NA
2005-11-08,34,NA,NA,11,18,7,NA,Leger Marketing,NA,26,NA,NA
2005-11-07,33,NA,NA,14,20,NA,NA,Decima Research,NA,30,NA,NA
2005-11-06,35,NA,NA,13,16,8,NA,Strategic Counsel,NA,28,NA,NA
2005-11-03,28,NA,NA,13,20,7,NA,Strategic Counsel,NA,31,NA,NA
2005-11-02,31,NA,NA,13,19,NA,NA,Ipsos-Reid,NA,30,NA,NA
2005-10-27,40,NA,NA,12,15,4,NA,Nanos Research,NA,28,NA,NA
2005-10-27,38,NA,NA,11,18,5,NA,Ipsos-Reid,NA,26,NA,NA
2005-10-17,38,NA,NA,NA,17,NA,NA,Pollara,NA,30,NA,NA
2005-10-17,35,NA,NA,13,17,NA,NA,Decima Research,NA,29,NA,NA
2005-10-16,38,NA,NA,10,20,NA,NA,Environics,NA,27,NA,NA
2005-10-13,38,NA,NA,14,15,NA,NA,Strategic Counsel,NA,25,NA,NA
2005-10-02,36,NA,NA,11,19,NA,NA,Pollara,NA,30,NA,NA
2005-09-29,37,NA,NA,14,17,4,NA,Ipsos-Reid,NA,27,NA,NA
2005-09-26,36,NA,NA,13,17,NA,NA,Decima Research,NA,29,NA,NA
2005-09-23,33,NA,NA,NA,20,NA,NA,Praxicus,NA,29,NA,NA
2005-09-13,35,NA,NA,13,17,7,NA,Strategic Counsel,NA,28,NA,NA
2005-09-11,40,NA,NA,13,15,5,NA,Leger Marketing,NA,24,NA,NA
2005-08-22,36,NA,NA,11,17,6,NA,Ipsos-Reid,NA,28,NA,NA
2005-08-15,36,NA,NA,NA,17,NA,NA,Strategic Counsel,NA,28,NA,NA
2005-08-08,39,NA,NA,13,19,NA,NA,Nanos Research,NA,25,NA,NA
2005-07-28,34,NA,NA,11,20,NA,NA,Environics,NA,31,NA,NA
2005-07-25,39,NA,NA,14,19,NA,NA,Decima Research,NA,24,NA,NA
2005-07-18,38,NA,NA,13,15,NA,NA,Pollara,NA,27,NA,NA
2005-07-16,35,NA,NA,13,19,7,NA,Strategic Counsel,NA,26,NA,NA
2005-06-28,36,NA,NA,11,18,NA,NA,Pollara,NA,29,NA,NA
