institute,lpc,ca,bq,ndp,pc,date,cpc,gpc,sample_size,polling_method,other,ppc
Decima Research,27,NA,11,18,NA,2006-01-15,37,NA,1017,telephone,NA,NA
Ipsos-Reid,26,NA,12,19,NA,2006-01-15,38,5,NA,NA,NA,NA
Strategic Counsel,27,NA,11,16,NA,2006-01-15,40,6,NA,NA,NA,NA
Nanos Research,29,NA,11,18,NA,2006-01-15,37,5,NA,NA,NA,NA
EKOS,27.2,NA,10.6,18.6,NA,2006-01-15,38.6,4.4,968,Telephone,NA,NA
Nanos Research,30,NA,10,17,NA,2006-01-14,38,6,NA,NA,NA,NA
Strategic Counsel,27,NA,11,16,NA,2006-01-14,40,6,NA,NA,NA,NA
Nanos Research,29,NA,11,16,NA,2006-01-13,38,7,NA,NA,NA,NA
Strategic Counsel,28,NA,11,16,NA,2006-01-12,38,6,NA,NA,NA,NA
Ipsos-Reid,29,NA,10,18,NA,2006-01-12,37,5,NA,NA,NA,NA
Nanos Research,31,NA,10,14,NA,2006-01-12,40,6,1200,Telephone ,NA,NA
EKOS,28.3,NA,11.6,18.1,NA,2006-01-12,37.6,3.7,2045,NA,NA,NA
EKOS,27.4,NA,11.5,18.1,NA,2006-01-12,38.1,4.5,NA,NA,NA,NA
Strategic Counsel,27,NA,12,16,NA,2006-01-11,39,6,NA,NA,NA,NA
Nanos Research,29,NA,12,16,NA,2006-01-11,38,5,1200,Telephone ,NA,NA
EKOS,28.8,NA,13.3,17.9,NA,2006-01-11,36.3,2.8,NA,NA,NA,NA
Strategic Counsel,28,NA,12,16,NA,2006-01-10,39,NA,NA,NA,NA,NA
Nanos Research,30,NA,12,16,NA,2006-01-10,39,4,1200,Telephone ,NA,NA
EKOS,29.9,NA,11.6,17.6,NA,2006-01-10,37.1,3.2,NA,NA,NA,NA
Strategic Counsel,28,NA,12,16,NA,2006-01-09,38,6,NA,NA,NA,NA
Nanos Research,31,NA,13,17,NA,2006-01-09,35,5,1200,Telephone ,NA,NA
EKOS,26.8,NA,12.6,16.2,NA,2006-01-09,39.1,5.4,NA,NA,NA,NA
Ipsos-Reid,26,NA,13,18,NA,2006-01-08,37,5,NA,NA,NA,NA
Decima Research,27,NA,11,20,NA,2006-01-08,36,5,NA,NA,NA,NA
Nanos Research,31,NA,11,17,NA,2006-01-08,34,6,1200,Telephone ,NA,NA
Strategic Counsel,29,NA,13,15,NA,2006-01-08,37,6,1500,NA,NA,NA
Nanos Research,32,NA,11,17,NA,2006-01-07,34,6,1200,Telephone ,NA,NA
Nanos Research,32,NA,10,17,NA,2006-01-06,35,6,1200,Telephone ,NA,NA
Ipsos-Reid,31,NA,10,18,NA,2006-01-05,35,5,2004,NA,NA,NA
EKOS,30.8,NA,10.6,17.5,NA,2006-01-05,36,4.7,1968,NA,NA,NA
Strategic Counsel,31,NA,13,17,NA,2006-01-05,33,6,NA,NA,NA,NA
Nanos Research,33,NA,11,17,NA,2006-01-05,34,5,1200,Telephone ,NA,NA
Leger Marketing,32,NA,11,16,NA,2006-01-04,34,5,NA,NA,NA,NA
Strategic Counsel,32,NA,13,17,NA,2006-01-04,32,6,NA,NA,NA,NA
Nanos Research,33,NA,12,15,NA,2006-01-04,35,5,1200,Telephone ,NA,NA
EKOS,30.4,NA,10.4,17.9,NA,2006-01-04,36.2,4.7,1386,NA,NA,NA
Strategic Counsel,32,NA,13,17,NA,2006-01-03,32,6,1500,NA,NA,NA
Nanos Research,33,NA,13,15,NA,2006-01-03,36,4,1200,Telephone ,NA,NA
Strategic Counsel,33,NA,14,17,NA,2005-12-31,31,6,NA,NA,NA,NA
Nanos Research,35,NA,13,14,NA,2005-12-30,35,4,1200,Telephone ,NA,NA
Ipsos-Reid,32,NA,12,18,NA,2005-12-30,33,5,1000,Telephone,NA,NA
Decima Research,32,NA,14,18,NA,2005-12-30,30,NA,NA,NA,NA,NA
Nanos Research,35,NA,13,14,NA,2005-12-29,34,5,1200,Telephone ,NA,NA
Nanos Research,38,NA,13,14,NA,2005-12-28,32,4,1200,Telephone ,NA,NA
Nanos Research,38,NA,12,15,NA,2005-12-23,31,5,1200,Telephone ,NA,NA
Ipsos-Reid,33,NA,13,16,NA,2005-12-22,32,5,1000,Telephone,NA,NA
Strategic Counsel,36,NA,13,17,NA,2005-12-22,29,5,NA,NA,NA,NA
Nanos Research,39,NA,12,15,NA,2005-12-22,29,5,NA,NA,NA,NA
Environics,35,NA,12,17,NA,2005-12-21,30,5,1010,NA,NA,NA
Strategic Counsel,33,NA,14,18,NA,2005-12-21,30,5,NA,NA,NA,NA
Leger Marketing,36,NA,12,17,NA,2005-12-21,28,5,NA,NA,NA,NA
Nanos Research,37,NA,12,15,NA,2005-12-21,29,6,NA,NA,NA,NA
Strategic Counsel,34,NA,15,16,NA,2005-12-20,30,5,NA,NA,NA,NA
Nanos Research,37,NA,13,14,NA,2005-12-20,31,6,NA,NA,NA,NA
Strategic Counsel,33,NA,15,17,NA,2005-12-19,29,6,NA,NA,NA,NA
Nanos Research,37,NA,13,16,NA,2005-12-19,29,5,NA,NA,NA,NA
Strategic Counsel,34,NA,13,19,NA,2005-12-18,29,5,NA,NA,NA,NA
Pollara,37,NA,10,17,NA,2005-12-19,34,NA,NA,NA,NA,NA
Nanos Research,38,NA,12,16,NA,2005-12-18,29,4,NA,NA,NA,NA
Nanos Research,38,NA,13,15,NA,2005-12-17,30,4,NA,NA,NA,NA
Nanos Research,39,NA,12,14,NA,2005-12-16,31,5,NA,NA,NA,NA
Strategic Counsel,34,NA,13,18,NA,2005-12-15,30,5,NA,NA,NA,NA
Nanos Research,39,NA,12,12,NA,2005-12-15,33,5,NA,NA,NA,NA
Strategic Counsel,34,NA,14,17,NA,2005-12-14,30,5,NA,NA,NA,NA
Nanos Research,39,NA,12,12,NA,2005-12-14,32,5,NA,NA,NA,NA
Leger Marketing,35,NA,12,17,NA,2005-12-13,29,6,NA,NA,NA,NA
Strategic Counsel,34,NA,14,17,NA,2005-12-13,29,6,NA,NA,NA,NA
Nanos Research,38,NA,12,14,NA,2005-12-13,31,5,NA,NA,NA,NA
Strategic Counsel,33,NA,13,17,NA,2005-12-12,31,6,NA,NA,NA,NA
Nanos Research,38,NA,14,13,NA,2005-12-12,30,5,NA,NA,NA,NA
Ipsos-Reid,36,NA,14,17,NA,2005-12-11,27,5,NA,NA,NA,NA
Pollara,38,NA,12,15,NA,2005-12-11,30,NA,NA,NA,NA,NA
Strategic Counsel,34,NA,14,16,NA,2005-12-11,30,6,NA,NA,NA,NA
Nanos Research,39,NA,13,14,NA,2005-12-11,31,4,NA,NA,NA,NA
Strategic Counsel,35,NA,14,15,NA,2005-12-10,30,6,NA,NA,NA,NA
Nanos Research,39,NA,13,14,NA,2005-12-10,32,4,NA,NA,NA,NA
Decima Research,36,NA,13,20,NA,2005-12-09,27,4,NA,NA,NA,NA
Nanos Research,39,NA,11,15,NA,2005-12-09,30,4,NA,NA,NA,NA
Strategic Counsel,36,NA,14,16,NA,2005-12-08,28,6,NA,NA,NA,NA
Nanos Research,41,NA,11,18,NA,2005-12-08,26,4,NA,NA,NA,NA
Ipsos-Reid,34,NA,14,15,NA,2005-12-08,30,5,NA,NA,NA,NA
Leger Marketing,39,NA,12,16,NA,2005-12-07,27,5,NA,NA,NA,NA
Strategic Counsel,36,NA,14,15,NA,2005-12-07,30,5,NA,NA,NA,NA
Nanos Research,40,NA,11,18,NA,2005-12-07,26,4,NA,NA,NA,NA
Strategic Counsel,35,NA,13,16,NA,2005-12-06,29,6,NA,NA,NA,NA
Nanos Research,40,NA,11,17,NA,2005-12-06,28,4,NA,NA,NA,NA
Decima Research,34,NA,14,20,NA,2005-12-05,26,NA,NA,NA,NA,NA
Strategic Counsel,35,NA,14,16,NA,2005-12-05,29,6,NA,NA,NA,NA
Nanos Research,38,NA,12,16,NA,2005-12-05,30,5,NA,NA,NA,NA
Strategic Counsel,35,NA,14,16,NA,2005-12-04,29,6,NA,NA,NA,NA
Nanos Research,37,NA,13,16,NA,2005-12-04,30,5,NA,NA,NA,NA
Strategic Counsel,34,NA,14,16,NA,2005-12-03,30,6,NA,NA,NA,NA
Nanos Research,38,NA,14,15,NA,2005-12-03,29,5,NA,NA,NA,NA
Nanos Research,36,NA,14,14,NA,2005-12-02,31,5,NA,NA,NA,NA
Ipsos-Reid,33,NA,14,17,NA,2005-12-01,31,5,NA,NA,NA,NA
Strategic Counsel,35,NA,14,16,NA,2005-12-01,30,6,NA,NA,NA,NA
Nanos Research,37,NA,14,15,NA,2005-12-01,29,5,NA,NA,NA,NA
EKOS,34.1,NA,14,18.4,NA,2005-12-01,27.4,6,NA,NA,NA,NA
Strategic Counsel,35,NA,14,17,NA,2005-11-30,30,5,NA,NA,NA,NA
Ipsos-Reid,31,NA,15,18,NA,2005-11-28,31,5,NA,NA,NA,NA
Decima Research,36,NA,12,19,NA,2005-11-28,28,NA,NA,NA,NA,NA
Strategic Counsel,35,NA,14,17,NA,2005-11-27,29,5,NA,NA,NA,NA
Pollara,36,NA,14,16,NA,2005-11-27,31,NA,NA,NA,NA,NA
Environics,35,NA,14,20,NA,2005-11-25,30,1,NA,NA,NA,NA
EKOS,38.7,NA,10.6,16.9,NA,2005-11-24,29.4,3,NA,NA,NA,NA
Ipsos-Reid,34,NA,15,16,NA,2005-11-24,30,5,NA,NA,NA,NA
Ipsos-Reid,36,NA,13,16,NA,2005-11-15,27,6,NA,NA,NA,NA
Decima Research,33,NA,13,22,NA,2005-11-14,26,NA,NA,NA,NA,NA
Pollara,36,NA,NA,20,NA,2005-11-13,28,NA,NA,NA,NA,NA
Nanos Research,34,NA,14,20,NA,2005-11-13,28,4,NA,NA,NA,NA
Ipsos-Reid,34,NA,14,19,NA,2005-11-10,28,4,NA,NA,NA,NA
EKOS,33,NA,13.1,20.9,NA,2005-11-09,27.9,4.9,NA,NA,NA,NA
Leger Marketing,34,NA,11,18,NA,2005-11-08,26,7,NA,NA,NA,NA
Decima Research,33,NA,14,20,NA,2005-11-07,30,NA,NA,NA,NA,NA
Strategic Counsel,35,NA,13,16,NA,2005-11-06,28,8,NA,NA,NA,NA
Strategic Counsel,28,NA,13,20,NA,2005-11-03,31,7,NA,NA,NA,NA
Ipsos-Reid,31,NA,13,19,NA,2005-11-02,30,NA,NA,NA,NA,NA
Nanos Research,40,NA,12,15,NA,2005-10-27,28,4,NA,NA,NA,NA
Ipsos-Reid,38,NA,11,18,NA,2005-10-27,26,5,NA,NA,NA,NA
Pollara,38,NA,NA,17,NA,2005-10-17,30,NA,NA,NA,NA,NA
Decima Research,35,NA,13,17,NA,2005-10-17,29,NA,NA,NA,NA,NA
Environics,38,NA,10,20,NA,2005-10-16,27,NA,NA,NA,NA,NA
Strategic Counsel,38,NA,14,15,NA,2005-10-13,25,NA,NA,NA,NA,NA
Pollara,36,NA,11,19,NA,2005-10-02,30,NA,NA,NA,NA,NA
Ipsos-Reid,37,NA,14,17,NA,2005-09-29,27,4,NA,NA,NA,NA
Decima Research,36,NA,13,17,NA,2005-09-26,29,NA,NA,NA,NA,NA
Praxicus,33,NA,NA,20,NA,2005-09-23,29,NA,NA,NA,NA,NA
Strategic Counsel,35,NA,13,17,NA,2005-09-13,28,7,NA,NA,NA,NA
Leger Marketing,40,NA,13,15,NA,2005-09-11,24,5,NA,NA,NA,NA
Ipsos-Reid,36,NA,11,17,NA,2005-08-22,28,6,NA,NA,NA,NA
Strategic Counsel,36,NA,NA,17,NA,2005-08-15,28,NA,NA,NA,NA,NA
Nanos Research,39,NA,13,19,NA,2005-08-08,25,NA,NA,NA,NA,NA
Environics,34,NA,11,20,NA,2005-07-28,31,NA,NA,NA,NA,NA
Decima Research,39,NA,14,19,NA,2005-07-25,24,NA,NA,NA,NA,NA
Pollara,38,NA,13,15,NA,2005-07-18,27,NA,NA,NA,NA,NA
Strategic Counsel,35,NA,13,19,NA,2005-07-16,26,7,NA,NA,NA,NA
Pollara,36,NA,11,18,NA,2005-06-28,29,NA,NA,NA,NA,NA
Ipsos-Reid,35,NA,13,18,NA,2005-06-28,27,6,NA,NA,NA,NA
Decima Research,37,NA,13,20,NA,2005-06-20,25,NA,NA,NA,NA,NA
Ipsos-Reid,34,NA,12,16,NA,2005-06-20,29,6,NA,NA,NA,NA
Strategic Counsel,34,NA,13,19,NA,2005-06-11,26,9,NA,NA,NA,NA
Pollara,38,NA,13,19,NA,2005-06-06,27,NA,NA,NA,NA,NA
Decima Research,37,NA,13,21,NA,2005-06-05,23,NA,NA,NA,NA,NA
Decima Research,36,NA,13,21,NA,2005-05-22,27,NA,NA,NA,NA,NA
Leger Marketing,38,NA,12,17,NA,2005-05-22,27,4,1509,NA,NA,NA
Ipsos-Reid,34,NA,NA,17,NA,2005-05-20,28,6,NA,NA,NA,NA
Strategic Counsel,33,NA,12,19,NA,2005-05-18,30,6,NA,NA,NA,NA
COMPAS,29,NA,13,17,NA,2005-05-17,38,NA,NA,NA,NA,NA
EKOS,34.7,NA,12.6,18.4,NA,2005-05-17,28.3,5.6,NA,NA,NA,NA
Environics,33,NA,10,22,NA,2005-05-17,31,NA,NA,NA,NA,NA
Decima Research,32,NA,14,19,NA,2005-05-15,31,NA,NA,NA,NA,NA
Ipsos-Reid,27,NA,13,19,NA,2005-05-14,31,6,NA,NA,NA,NA
Strategic Counsel,27,NA,14,20,NA,2005-05-10,31,7,NA,NA,NA,NA
Decima Research,37,NA,12,18,NA,2005-05-08,28,NA,NA,NA,NA,NA
Ipsos-Reid,32,NA,12,16,NA,2005-05-07,31,5,NA,NA,NA,NA
Nanos Research,36.1,NA,12.2,17.9,NA,2005-05-05,29.5,4.3,NA,NA,NA,NA
Pollara,31,NA,15,17,NA,2005-05-04,36,NA,NA,NA,NA,NA
Decima Research,32,NA,15,20,NA,2005-05-02,29,NA,NA,NA,NA,NA
Ipsos-Reid,30,NA,12,17,NA,2005-04-28,33,5,1000,Telephone,NA,NA
EKOS,32.5,NA,12,19,NA,2005-04-28,30.5,5.5,NA,NA,NA,NA
GPC P.A.,33,NA,13,13,NA,2005-04-28,30,10,NA,NA,NA,NA
Strategic Counsel,30,NA,16,18,NA,2005-04-28,28,10,NA,NA,NA,NA
Ipsos-Reid,31,NA,11,18,NA,2005-04-24,34,5,1000,Telephone,NA,NA
Decima Research,27,NA,15,21,NA,2005-04-24,32,NA,NA,NA,NA,NA
Ipsos-Reid,30,NA,12,18,NA,2005-04-21,35,5,1000,Telephone,NA,NA
Pollara,31,NA,12,18,NA,2005-04-21,35,NA,NA,NA,NA,NA
Nanos Research,31.6,NA,11.9,14.9,NA,2005-04-18,37.9,3.8,NA,NA,NA,NA
Decima Research,28,NA,14,18,NA,2005-04-17,35,NA,NA,NA,NA,NA
Ipsos-Reid,27,NA,10,15,NA,2005-04-14,36,7,1000,Telephone,NA,NA
COMPAS,30,NA,15,18,NA,2005-04-14,34,1,NA,NA,NA,NA
Environics,27,NA,11,24,NA,2005-04-14,33,2,NA,NA,NA,NA
Environics,36,NA,11,19,NA,2005-04-12,30,4,NA,NA,NA,NA
Leger Marketing,31,NA,13,18,NA,2005-04-11,34,NA,1504,Telephone,NA,NA
Ipsos-Reid,27,NA,12,19,NA,2005-04-10,30,7,1000,Telephone,NA,NA
Decima Research,31,NA,14,19,NA,2005-04-10,32,NA,NA,NA,NA,NA
EKOS,25,NA,12.6,20.5,NA,2005-04-09,36.2,5,NA,NA,NA,NA
Ipsos-Reid,34,NA,10,15,NA,2005-04-07,30,7,1000,Telephone,NA,NA
Asking Canadians,22.6,NA,9.5,22.6,NA,2008-10-13,38,7.1,NA,NA,NA,NA
EKOS Research Associates,26.4,NA,9.8,19.4,NA,2008-10-13,34.8,9.6,NA,NA,NA,NA
Angus Reid Strategies,27,NA,9,20,NA,2008-10-13,37,7,NA,NA,NA,NA
Nanos Research,26.7,NA,9.5,21.4,NA,2008-10-12,34.2,8.2,NA,NA,NA,NA
EKOS Research Associates,26,NA,10,18,NA,2008-10-12,34,11,NA,NA,NA,NA
Harris-Decima,25,NA,11,19,NA,2008-10-12,34,9,NA,NA,NA,NA
Strategic Counsel,28,NA,10,18,NA,2008-10-11,33,11,NA,NA,NA,NA
Nanos Research,27,NA,10,22,NA,2008-10-11,33,9,NA,NA,NA,NA
Harris-Decima,26,NA,10,18,NA,2008-10-11,35,9,NA,NA,NA,NA
EKOS Research Associates,27,NA,10,18,NA,2008-10-11,34,11,NA,NA,NA,NA
Strategic Counsel,28,NA,9,19,NA,2008-10-10,35,9,NA,NA,NA,NA
Harris-Decima,25,NA,9,18,NA,2008-10-10,35,11,NA,NA,NA,NA
Nanos Research,28,NA,10,22,NA,2008-10-10,32,8,NA,NA,NA,NA
Angus Reid Strategies,28,NA,9,19,NA,2008-10-10,38,6,NA,NA,NA,NA
EKOS Research Associates,26,NA,10,19,NA,2008-10-10,34,11,NA,NA,NA,NA
Ipsos Reid,29,NA,9,18,NA,2008-10-09,34,8,NA,NA,NA,NA
Segma,23,NA,10,21,NA,2008-10-09,35,10,NA,NA,NA,NA
Nanos Research,27,NA,10,22,NA,2008-10-09,33,8,NA,NA,NA,NA
Harris-Decima,26,NA,9,18,NA,2008-10-09,34,12,NA,NA,NA,NA
EKOS Research Associates,24,NA,10,19,NA,2008-10-09,36,11,NA,NA,NA,NA
Nanos Research,29,NA,10,20,NA,2008-10-08,33,7,NA,NA,NA,NA
Harris-Decima,27,NA,8,19,NA,2008-10-08,32,12,NA,NA,NA,NA
EKOS Research Associates,24,NA,10,20,NA,2008-10-08,35,11,NA,NA,NA,NA
Nanos Research,29,NA,11,20,NA,2008-10-07,33,7,NA,NA,NA,NA
Angus Reid Strategies,27,NA,9,18,NA,2008-10-07,35,10,NA,NA,NA,NA
Harris-Decima,27,NA,8,20,NA,2008-10-07,31,12,NA,NA,NA,NA
EKOS Research Associates,25,NA,10,20,NA,2008-10-07,34,11,NA,NA,NA,NA
Harris-Decima,26,NA,8,21,NA,2008-10-06,31,13,NA,NA,NA,NA
Nanos Research,31,NA,11,18,NA,2008-10-06,34,6,NA,NA,NA,NA
EKOS Research Associates,26,NA,10,19,NA,2008-10-06,33,12,NA,NA,NA,NA
Harris-Decima,25,NA,8,21,NA,2008-10-05,32,12,NA,NA,NA,NA
Nanos Research,29,NA,11,20,NA,2008-10-05,34,6,NA,NA,NA,NA
EKOS Research Associates,25,NA,10,19,NA,2008-10-05,35,10,NA,NA,NA,NA
Harris-Decima,24,NA,8,20,NA,2008-10-04,34,13,NA,NA,NA,NA
Nanos Research,30,NA,10,19,NA,2008-10-04,34,7,NA,NA,NA,NA
EKOS Research Associates,25,NA,10,18,NA,2008-10-04,36,10,NA,NA,NA,NA
Angus Reid Strategies,25,NA,11,19,NA,2008-10-03,40,6,NA,NA,NA,NA
Harris-Decima,22,NA,9,20,NA,2008-10-03,35,13,NA,NA,NA,NA
Nanos Research,28,NA,10,19,NA,2008-10-03,35,8,NA,NA,NA,NA
EKOS Research Associates,25,NA,10,19,NA,2008-10-03,36,10,NA,NA,NA,NA
Ipsos Reid,23,NA,11,19,NA,2008-10-02,37,10,NA,NA,NA,NA
Harris-Decima,22,NA,9,18,NA,2008-10-02,37,12,NA,NA,NA,NA
Nanos Research,30,NA,10,18,NA,2008-10-02,35,9,NA,NA,NA,NA
EKOS Research Associates,24,NA,10,19,NA,2008-10-02,36,11,NA,NA,NA,NA
Harris-Decima,23,NA,9,18,NA,2008-10-01,36,12,NA,NA,NA,NA
Nanos Research,26,NA,10,19,NA,2008-10-01,37,8,NA,NA,NA,NA
EKOS Research Associates,25,NA,10,19,NA,2008-10-01,34,11,NA,NA,NA,NA
Harris-Decima,24,NA,10,17,NA,2008-09-30,36,11,NA,NA,NA,NA
Nanos Research,26,NA,10,20,NA,2008-09-30,36,9,NA,NA,NA,NA
EKOS Research Associates,25,NA,10,20,NA,2008-09-30,34,11,NA,NA,NA,NA
Strategic Counsel,24,NA,10,19,NA,2008-09-29,39,9,NA,NA,NA,NA
Harris-Decima,26,NA,9,18,NA,2008-09-29,36,11,NA,NA,NA,NA
Nanos Research,26,NA,10,20,NA,2008-09-29,37,8,NA,NA,NA,NA
EKOS Research Associates,27,NA,9,19,NA,2008-09-29,34,10,NA,NA,NA,NA
Harris-Decima,26,NA,8,19,NA,2008-09-28,36,9,NA,NA,NA,NA
Nanos Research,26,NA,9,20,NA,2008-09-28,36,9,NA,NA,NA,NA
EKOS Research Associates,26,NA,10,20,NA,2008-09-28,34,10,NA,NA,NA,NA
Nanos Research,27,NA,9,19,NA,2008-09-27,36,9,NA,NA,NA,NA
Harris-Decima,25,NA,9,19,NA,2008-09-27,36,9,NA,NA,NA,NA
Nanos Research,25,NA,8,19,NA,2008-09-26,39,9,NA,NA,NA,NA
Harris-Decima,23,NA,9,19,NA,2008-09-26,38,9,NA,NA,NA,NA
Angus Reid Strategies,21,NA,10,21,NA,2008-09-25,40,7,NA,NA,NA,NA
Ipsos Reid,23,NA,9,18,NA,2008-09-25,39,11,NA,NA,NA,NA
Nanos Research,24,NA,9,19,NA,2008-09-25,39,8,NA,NA,NA,NA
Harris-Decima,24,NA,9,18,NA,2008-09-25,37,10,NA,NA,NA,NA
EKOS Research Associates,25,NA,10,20,NA,2008-09-25,35,10,NA,NA,NA,NA
Nanos Research,25,NA,9,19,NA,2008-09-24,40,8,NA,NA,NA,NA
EKOS Research Associates,25,NA,10,19,NA,2008-09-24,36,11,NA,NA,NA,NA
Harris-Decima,23,NA,9,17,NA,2008-09-24,36,12,NA,NA,NA,NA
EKOS Research Associates,24,NA,9,19,NA,2008-09-23,37,11,NA,NA,NA,NA
Harris-Decima,24,NA,9,16,NA,2008-09-23,37,12,NA,NA,NA,NA
Nanos Research,26,NA,9,21,NA,2008-09-23,37,7,NA,NA,NA,NA
EKOS Research Associates,25,NA,8,19,NA,2008-09-22,36,12,NA,NA,NA,NA
Nanos Research,27,NA,8,21,NA,2008-09-22,38,6,NA,NA,NA,NA
Harris-Decima,24,NA,8,17,NA,2008-09-22,37,11,NA,NA,NA,NA
EKOS Research Associates,24,NA,8,19,NA,2008-09-21,37,12,NA,NA,NA,NA
Nanos Research,30,NA,7,22,NA,2008-09-21,35,6,NA,NA,NA,NA
Harris-Decima,23,NA,8,17,NA,2008-09-21,38,12,NA,NA,NA,NA
Nanos Research,31,NA,7,20,NA,2008-09-20,36,7,NA,NA,NA,NA
Harris-Decima,23,NA,8,17,NA,2008-09-20,39,11,NA,NA,NA,NA
Nanos Research,29,NA,7,18,NA,2008-09-19,38,7,NA,NA,NA,NA
Harris-Decima,23,NA,8,17,NA,2008-09-19,38,12,NA,NA,NA,NA
Angus Reid Strategies,24,NA,9,19,NA,2008-09-18,38,10,NA,NA,NA,NA
Ipsos Reid,27,NA,8,15,NA,2008-09-18,40,10,NA,NA,NA,NA
EKOS Research Associates,25,NA,8,18,NA,2008-09-18,36,13,NA,NA,NA,NA
Nanos Research,28,NA,7,18,NA,2008-09-18,39,7,NA,NA,NA,NA
Harris-Decima,25,NA,8,15,NA,2008-09-18,38,12,NA,NA,NA,NA
