State(linked tosummaries below),Incumbent,Incumbent,Incumbent,Results,Candidates
Kansas,Sam Brownback,Republican,1996 (Special),Incumbent re-elected.,Sam Brownback (Republican) 65.3% Paul Feleciano Jr. (Democratic) 31.6% Tom Oyler (Libertarian) 1.6% Alvin Bauman (Reform) 1.5%
Kentucky,Wendell Ford,Democratic,19741974 (Appointed)198019861992,Incumbent retired.New senator elected.Republican gain.,Jim Bunning (Republican) 49.7% Scotty Baesler (Democratic) 49.2% Charles R. Arbegust (Reform) 1.1%
Louisiana,John Breaux,Democratic,19861992,Incumbent re-elected.,John Breaux (Democratic) 64% Jim Donelon (Republican) 32%
Maryland,Barbara Mikulski,Democratic,19861992,Incumbent re-elected.,Barbara Mikulski (Democratic) 70.5% Ross Pierpont (Republican) 29.5%
Missouri,Kit Bond,Republican,19861992,Incumbent re-elected.,Kit Bond (Republican) 52.7% Jay Nixon (Democratic) 43.8% Tamara Millay (Libertarian) 2.0% Curtis Frazier (U.S. Taxpayers) 1.0% James F. Newport (Reform) 0.5%
Nevada,Harry Reid,Democratic,19861992,Incumbent re-elected.,Harry Reid (Democratic) 47.9% John Ensign (Republican) 47.8% Michael Cloud (Libertarian) 1.9% None of These Candidates 1.8% Michael E. Williams (Natural Law) 0.6%
New Hampshire,Judd Gregg,Republican,1992,Incumbent re-elected.,Judd Gregg (Republican) 67.8% George Condodemetraky (Democratic) 28.2% Brian Christeson (Libertarian) 2.4% Roy Kendel (Independent) 1.5%
New York,Al D'Amato,Republican,198019861992,Incumbent lost re-election.New senator elected.Democratic gain.,Chuck Schumer (Democratic) 54.6% Al D'Amato (Republican) 44.1% Corinne E. Kurtz (Marijuana Reform) 0.7% Joel Kovel (Green) 0.3% William P. Mc Millen (Libertarian) 0.2% Rose Ana Berbeo (Socialist Workers) 0.1%
North Carolina,Lauch Faircloth,Republican,1992,Incumbent lost re-election.New senator elected.Democratic gain.,John Edwards (Democratic) 51.2% Lauch Faircloth (Republican) 47.0% Barbara Howe (Libertarian) 1.8%
North Dakota,Byron Dorgan,Democratic-NPL,1992,Incumbent re-elected.,Byron Dorgan (Democratic) 63.1% Donna Nalewaja (Republican) 35.2% Harley McLain (Libertarian) 1.7%
Ohio,John Glenn,Democratic,19741974 (Appointed)198019861992,Incumbent retired.New senator elected.Republican gain.,George Voinovich (Republican) 56.5% Mary Boyle (Democratic) 43.5%
Oklahoma,Don Nickles,Republican,198019861992,Incumbent re-elected.,"Don Nickles (Republican) 66.4% Don Carroll (Democratic) 31.3% Mike Morris (Independent) 1.8% Argus W. Yandell, Jr. (Independent) 0.5%"
Oregon,Ron Wyden,Democratic,1996 (Special)1998,Incumbent re-elected.,Ron Wyden (Democratic) 61% John Lim (Republican) 33.8% Karen Moskowitz (Green) 2.0% Jim Brewster (Libertarian) 1.6% Michael A. Campbell (Natural Law) 0.8% Dean M. Braa (Socialist) 0.7%
Pennsylvania,Arlen Specter,Republican,198019861992,Incumbent re-elected.,Arlen Specter (Republican) 61.3% Bill Lloyd (Democratic) 34.8% Dean Snyder (Constitution) 2.3% Jack Iannantuono (Libertarian) 1.6%
South Carolina,Ernest Hollings,Democratic,1966 (Appointed)19681974198019861992,Incumbent re-elected.,Ernest Hollings (Democratic) 52.7% Bob Inglis (Republican) 45.7% Richard Quillian (Libertarian) 1.6%
South Dakota,Tom Daschle,Democratic,19861992,Incumbent re-elected.,Tom Daschle (Democratic) 62.1% Ron Schmidt (Republican) 36.4% Byron Dale (Libertarian) 1.4%
Utah,Bob Bennett,Republican,1992,Incumbent re-elected.,Bob Bennett (Republican) 64% Scott Leckman (Democratic) 33% Gary R. Van Horn (Independent American) 3%
Vermont,Patrick Leahy,Democratic,1974198019861992,Incumbent re-elected.,Patrick Leahy (Democratic) 72.2% Fred Tuttle (Republican) 22.5% Hugh Douglas (Libertarian) 2.0% Barry M. Nelson (Independent) 1.4% Bob Melamede (Vermont Grassroots) 1.2% Jerry Levy (Liberty Union) 0.6%
Washington,Patty Murray,Democratic,1992,Incumbent re-elected.,Patty Murray (Democratic) 58.4% Linda Smith (Republican) 41.6%
Wisconsin,Russ Feingold,Democratic,1992,Incumbent re-elected.,Russ Feingold (Democratic) 50.6% Mark Neumann (Republican) 48.4% Robert R. Raymond (U.S. Taxpayers) 0.5% Tom Ender (Libertarian) 0.3% Eugene A. Hem (Independent) 0.2%
