State(linked to sections below),Incumbent,Incumbent,Incumbent,Results,Candidates
New York,Chuck Schumer,Democratic,199820042010,Incumbent re-elected.,Chuck Schumer (Democratic) 70.4%[37] Wendy Long (Republican) 27.4%[78] Robin Wilson (Green)[79] 1.53% Alex Merced (Libertarian)[80] 0.65%
North Carolina,Richard Burr,Republican,20042010,Incumbent re-elected.,Richard Burr (Republican) 51.1%[81] Deborah Ross (Democratic) 45.3%[82] Sean Haugh (Libertarian)[83] 3.57%
North Dakota,John Hoeven,Republican,2010,Incumbent re-elected.,John Hoeven (Republican) 78.4%[84] Eliot Glassheim (Democratic) 17.0%[85] Robert Marquette (Libertarian)[86] 3.08%
Ohio,Rob Portman,Republican,2010,Incumbent re-elected.,Rob Portman (Republican) 58.0%[87] Ted Strickland (Democratic) 37.1%[88] Joseph DeMare (Green)[89] 1.64%
Oklahoma,James Lankford,Republican,2014 (Special),Incumbent re-elected.,James Lankford (Republican) 67.7%[37] Mike Workman (Democratic) 24.5%[90] Robert Murphy (Libertarian)[91] 3.00%
Oregon,Ron Wyden,Democratic,1996 (Special)199820042010,Incumbent re-elected.,Ron Wyden (Democratic) 56.1%[37] Mark Callahan (Republican) 33.35%[92] Jim Lindsay (Libertarian)[93] 1.23% Eric Navickas (Green)[93] 2.50%
Pennsylvania,Pat Toomey,Republican,2010,Incumbent re-elected.,Pat Toomey (Republican) 48.9%[94] Katie McGinty (Democratic) 47.2%[95] Edward Clifford (Libertarian)[96] 3.89%
South Carolina,Tim Scott,Republican,2013 (Appointed)2014 (Special),Incumbent re-elected.,Tim Scott (Republican) 60.5%[37] Thomas Dixon (Democratic) 37.0%[97] Bill Bledsoe (Libertarian)[98] 1.83%
South Dakota,John Thune,Republican,20042010,Incumbent re-elected.,John Thune (Republican) 71.8%[99] Jay Williams (Democratic) 28.2%[100]
Utah,Mike Lee,Republican,2010,Incumbent re-elected.,Mike Lee (Republican) 68.1%[101] Misty K. Snow (Democratic) 27.1%[102] Stoney Fonua (Independent American) 2.45% Bill Barron (unaffiliated) 2.34%
Vermont,Patrick Leahy,Democratic,1974198019861992199820042010,Incumbent re-elected.,Patrick Leahy (Democratic) 61.3%[103] Scott Milne (Republican) 33.0%[104] Cris Ericson (Marijuana)[verification needed] 2.86% Jerry Trudell (unaffiliated) 1.63% Peter Diamondstone (Liberty Union) 1.01%
Washington,Patty Murray,Democratic,1992199820042010,Incumbent re-elected.,Patty Murray (Democratic) 59.04%[105] Chris Vance (Republican) 40.96%[106]
Wisconsin,Ron Johnson,Republican,2010,Incumbent re-elected.,Ron Johnson (Republican) 50.19%[107] Russ Feingold (Democratic) 46.84%[108] Phil Anderson (Libertarian) 2.7%[109]
