State(linked tosummaries below),Incumbent,Incumbent,Incumbent,Results,Candidates
Montana,John Walsh,Democratic,2014 (Appointed),Incumbent appointee withdrew from nomination.New senator elected.Republican gain.,Steve Daines (Republican) 57.8%[82] Amanda Curtis (Democratic) 40.1% Roger Roots (Libertarian) 2.1%[83]
Nebraska,Mike Johanns,Republican,2008,Incumbent retired.[84]New senator elected.Republican hold.,Ben Sasse (Republican) 64.4%[85] David Domina (Democratic) 31.5%[86] Jim Jenkins (Independent) 2.9%[87] Todd Watson (Independent) 1.2%[88]
New Hampshire,Jeanne Shaheen,Democratic,2008,Incumbent re-elected.,Jeanne Shaheen (Democratic) 51.5%[89] Scott Brown (Republican) 48.2%[90]
New Jersey,Cory Booker,Democratic,2013 (Special),Incumbent re-elected.,Cory Booker (Democratic) 55.8%[91] Jeff Bell (Republican) 42.3%[91] Joe Baratelli (Libertarian) 0.9%[92] Hank Schroeder (Economic Growth) 0.3%[93] Jeff Boss (Independent)[93] 0.2% Eugene M. LaVergne (D-R) 0.2%[94] Antonio Sabas (Independent) 0.2%[95]
New Mexico,Tom Udall,Democratic,2008,Incumbent re-elected.,Tom Udall (Democratic) 55.6%[96] Allen Weh (Republican) 44.4%[97]
North Carolina,Kay Hagan,Democratic,2008,Incumbent lost re-election.New senator elected.Republican gain.,Thom Tillis (Republican) 48.8%[98] Kay Hagan (Democratic) 47.3%[99] Sean Haugh (Libertarian) 3.7%[100]
Oklahoma,Jim Inhofe,Republican,1994199620022008,Incumbent re-elected.,Jim Inhofe (Republican) 68.0%[76] Matt Silverstein (Democratic) 28.6%[101] Joan Farr (Independent) 1.3%[102] Ray Woods (Independent) 1.2%[23] Aaron DeLozier (Independent) 0.9%[23]
Oregon,Jeff Merkley,Democratic,2008,Incumbent re-elected.,Jeff Merkley (Democratic) 55.7%[103] Monica Wehby (Republican) 36.9%[104] Mike Montchalin (Libertarian) 3.1%[105] Christina Jean Lugo (Pacific Green) 2.2%[106] James E. Leuenberger (Constitution) 1.7%[107]
Rhode Island,Jack Reed,Democratic,199620022008,Incumbent re-elected.,Jack Reed (Democratic) 70.6%[108] Mark Zaccaria (Republican) 29.2%[109]
South Carolina,Lindsey Graham,Republican,20022008,Incumbent re-elected.,Lindsey Graham (Republican) 54.3%[110][110] Brad Hutto (Democratic) 38.8%[111] Thomas Ravenel (Independent) 3.8%[111] Victor Kocher (Libertarian) 2.7%[111]
South Dakota,Tim Johnson,Democratic,199620022008,Incumbent retired.[112]New senator elected.Republican gain.,Mike Rounds (Republican) 50.4%[113] Rick Weiland (Democratic) 29.5%[114] Larry Pressler (Independent) 17.1%[115] Gordon Howie (Independent) 3.0%[116]
Tennessee,Lamar Alexander,Republican,20022008,Incumbent re-elected.,Lamar Alexander (Republican) 61.9%[117]Gordon Ball (Democratic) 31.9%[118]Joe B. Wilmoth (Constitution) 2.6%[119] Martin Pleasant (Green) 0.9%[119] Tom Emerson Jr. (Independent) 0.8%[119] Danny Page (Independent) 0.6%[119] Rick Tyler (Independent) 0.4%[119] Joshua James (Independent) 0.4%[119] Bartholomew J. Phillips (Independent) 0.2%[119] Edmund L. Gauthier (Independent) 0.2%[119] Eric Schechter (Independent) 0.1%[119] Choudhury Salekin (Independent) 0.1%[119]
Texas,John Cornyn,Republican,20022008,Incumbent re-elected.,John Cornyn (Republican) 61.6%[110][110] David Alameel (Democratic) 34.4%[120] Rebecca Paddock (Libertarian) 2.9%[121] Emily Marie Sanchez (Green) 1.2%[122]
Virginia,Mark Warner,Democratic,2008,Incumbent re-elected.[123],Mark Warner (Democratic) 49.1%[124] Ed Gillespie (Republican) 48.3%[125] Robert Sarvis (Libertarian) 2.4%[126][127]
West Virginia,Jay Rockefeller,Democratic,19841990199620022008,Incumbent retired.[128]New senator elected.Republican gain.,Shelley Moore Capito (Republican) 62.1%[citation needed] Natalie Tennant (Democratic) 34.5%[129] John S. Buckley (Libertarian) 1.6% Bob Henry Baber (Mountain) 1.2%[130] Phil Hudok (Constitution) 0.6%
Wyoming,Mike Enzi,Republican,199620022008,Incumbent re-elected.,Mike Enzi (Republican) 71.2%[131] Charlie Hardy (Democratic) 17.4%[132] Curt Gottshall (Independent) 7.9%[133] Joe Porambo (Libertarian) 2.2%
